symbol,bid_size,bid,ask,ask_size,last,change,open,high,low,previous_close,turnover,volume,operations,datetime,expiration,strike,kind,underlying_asset
GFGV2200AB,12.0,26.666,27.0,50.0,26.666,-26.09,31.078,31.078,26.666,36.082,6007334.0,2133.0,148.0,2024-02-22 12:02:46,2024-04-19,2200.0,PUT,GGAL
GFGC2300AB,12.0,400.0,425.108,2.0,401.0,17.1,382.0,401.0,382.0,342.415,583993.0,15.0,9.0,2024-02-22 11:58:52,2024-04-19,2300.0,CALL,GGAL
GFGV2300AB,5.0,50.515,52.5,15.0,52.12,-22.76,63.001,63.001,52.0,67.481,5423615.0,962.0,85.0,2024-02-22 12:01:38,2024-04-19,2300.0,PUT,GGAL
GFGC2400AB,1.0,340.0,366.0,11.0,335.0,18.5,312.0,350.0,310.0,282.687,15522791.0,463.0,49.0,2024-02-22 12:01:59,2024-04-19,2400.0,CALL,GGAL
GFGV2400AB,5.0,86.005,88.0,5.0,86.005,-22.03,95.0,99.999,86.005,110.318,1949636.0,212.0,30.0,2024-02-22 12:01:44,2024-04-19,2400.0,PUT,GGAL
GFGC2500AB,30.0,295.0,299.99,10.0,295.666,24.24,246.0,299.0,246.0,237.978,25852780.0,933.0,153.0,2024-02-22 12:02:24,2024-04-19,2500.0,CALL,GGAL
GFGV2500AB,2.0,142.0,145.0,4.0,142.0,-29.02,150.0,169.99,142.0,200.067,2584835.0,162.0,28.0,2024-02-22 12:02:36,2024-04-19,2500.0,PUT,GGAL
GFGC2600AB,6.0,240.0,244.0,2.0,244.0,24.47,249.0,249.0,220.0,196.028,2061182.0,88.0,27.0,2024-02-22 12:02:46,2024-04-19,2600.0,CALL,GGAL
GFGV2600AB,1.0,225.0,259.9,4.0,230.0,-20.96,260.0,260.0,230.0,291.0,73000.0,3.0,3.0,2024-02-22 12:00:34,2024-04-19,2600.0,PUT,GGAL
GFGC2700AB,16.0,195.0,201.0,1.0,200.0,23.59,188.0,200.0,176.874,161.825,2979479.0,158.0,31.0,2024-02-22 12:01:29,2024-04-19,2700.0,CALL,GGAL
GFGV2700AB,3.0,315.0,339.5,4.0,341.5,-10.36,355.0,355.0,322.0,381.0,2094300.0,63.0,5.0,2024-02-22 11:58:19,2024-04-19,2700.0,PUT,GGAL
GFGC2800AB,2.0,151.0,165.0,1.0,165.0,20.96,167.218,167.218,160.0,136.403,986022.0,60.0,10.0,2024-02-22 12:01:52,2024-04-19,2800.0,CALL,GGAL
GFGV2800AB,1.0,380.0,449.9,4.0,450.0,4.65,440.0,450.0,382.1,430.0,1462810.0,35.0,9.0,2024-02-22 11:43:40,2024-04-19,2800.0,PUT,GGAL
GFGC2900AB,35.0,141.0,143.0,1.0,140.0,20.23,126.395,140.0,126.0,116.439,5779032.0,433.0,60.0,2024-02-22 12:00:58,2024-04-19,2900.0,CALL,GGAL
GFGV2900AB,6.0,200.1,,,,,,,,107.0,,,,,2024-04-19,2900.0,PUT,GGAL
GFGC3000AB,2.0,120.0,120.89,1.0,120.89,25.12,98.378,120.89,98.378,96.616,57060721.0,5013.0,371.0,2024-02-22 12:02:39,2024-04-19,3000.0,CALL,GGAL
GFGV3000AB,5.0,424.606,699.999,6.0,,,,,,400.06,,,,,2024-04-19,3000.0,PUT,GGAL
GFGC3150AB,52.0,88.0,94.0,50.0,88.0,21.14,84.682,93.153,75.0,72.642,1583250.0,183.0,31.0,2024-02-22 12:01:59,2024-04-19,3150.0,CALL,GGAL
GFGV3150AB,5.0,350.1,,,,,,,,,,,,,2024-04-19,3150.0,PUT,GGAL
GFGC3300AB,1.0,67.0,67.5,1.0,67.5,22.12,60.0,67.53,59.0,55.272,2256953.0,360.0,60.0,2024-02-22 12:02:24,2024-04-19,3300.0,CALL,GGAL
GFGC3450AB,12.0,43.0,58.0,4.0,49.0,16.01,46.0,50.0,42.89,42.237,589636.0,129.0,29.0,2024-02-22 11:59:46,2024-04-19,3450.0,CALL,GGAL
GFGC3600AB,10.0,33.1,35.0,2.0,35.4,17.96,33.0,35.4,24.0,30.009,703646.0,211.0,38.0,2024-02-22 12:01:18,2024-04-19,3600.0,CALL,GGAL
GFGC3750AB,2.0,22.0,30.0,1.0,27.0,18.6,27.0,27.0,27.0,22.764,2700.0,1.0,1.0,2024-02-22 12:01:36,2024-04-19,3750.0,CALL,GGAL
GFGC3900AB,2.0,18.24,19.7,30.0,19.0,9.89,17.0,19.0,17.0,17.289,7200.0,4.0,3.0,2024-02-22 11:49:47,2024-04-19,3900.0,CALL,GGAL
GFGC4050AB,5.0,13.15,14.4,8.0,14.4,8.71,13.0,14.4,13.0,13.246,64201.0,48.0,13.0,2024-02-22 11:59:47,2024-04-19,4050.0,CALL,GGAL
GFGC4200AB,45.0,9.31,10.19,1.0,9.25,7.77,10.5,10.5,9.1,8.583,166000.0,172.0,31.0,2024-02-22 11:59:47,2024-04-19,4200.0,CALL,GGAL
GFGC1200JU,1.0,1401.0,1600.0,10.0,,,,,,1305.0,,,,,2024-06-19,1200.0,CALL,GGAL
GFGV1200JU,44.0,0.45,,,,,,,,0.45,,,,,2024-06-19,1200.0,PUT,GGAL
GFGC1640JU,4.0,810.0,,,,,,,,809.0,,,,,2024-06-19,1640.0,CALL,GGAL
GFGV1860JU,,,,,,,,,,10.0,,,,,2024-06-19,1860.0,PUT,GGAL
